0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,4
0049,4
0050,4
0051,10
0052,5
0053,5
0054,0
0055,6
0056,1
0057,3
0058,9
0059,6
0060,1
0061,6
0062,2
0063,1
0064,12
0065,4
0066,0
0067,1
0068,14
0069,7
0070,6
0071,8
0072,4
0073,2
0074,15
0075,2
0076,2
0077,1
0078,3
0079,12
0080,16
0081,9
0082,5
0083,1
0084,11
0085,4
0086,10
0087,6
0088,3
0089,3
0090,6
0091,0
0092,4
0093,11
0094,15
0095,14
0096,5
0097,2
0098,4
0099,6
0100,3
0101,3
0102,3
0103,14
0104,9
0105,11
0106,38
0107,26
0108,41
0109,25
0110,18
0111,11
0112,20
0113,17
0114,9
0115,18
0116,15
0117,7
0118,34
0119,15
0120,17
0121,12
0122,5
0123,8
0124,6
0125,11
0126,7
0127,102
0128,81
0129,40
0130,18
0131,16
0132,9
0133,20
0134,14
0135,950
0136,192
0137,66
0138,48
0139,134
0140,73
0141,44
0142,1339
0143,219
0144,113
0145,129
0146,118
0147,67
0148,296
0149,121
0150,69
0151,1329
0152,260
0153,198
0154,99
0155,87
0156,1043
0157,18
0158,129
0159,118
0160,63
0161,135
0162,111
0163,90
0164,77
0165,119
0166,95
0167,69
0168,409
0169,112
0170,215
0171,130
0172,94
0173,83
0174,61
0175,168
0176,797
0177,133
0178,969
0179,181
0180,106
0181,66
0182,59
0183,280
0184,118
0185,113
0186,65
0187,92
0188,60
0189,80
0190,62
0191,75
0192,59
0193,66
0194,55
0195,44
0196,60
0197,133
0198,90
0199,63
0200,70
0201,52
0202,85
0203,66
0204,169
0205,928
0206,869
0207,510
0208,267
0209,157
0210,165
0211,220
0212,167
0213,166
0214,124
0215,99
0216,70
0217,78
0218,222
0219,334
0220,237
0221,107
0222,79
0223,102
0224,86
0225,130
0226,224
0227,94
0228,87
0229,166
0230,150
0231,84
0232,111
0233,157
0234,180
0235,125
0236,107
0237,190
0238,140
0239,143
0240,370
0241,247
0242,189
0243,463
0244,273
0245,213
0246,181
0247,259
0248,244
0249,169
0250,118
0251,83
0252,95
0253,134
0254,113
0255,138
0256,134
0257,104
0258,159
0259,141
0260,314
0261,190
0262,148
0263,129
0264,132
0265,77
0266,94
0267,3
0268,50
0269,171
0270,167
0271,137
0272,66
0273,90
0274,181
0275,301
0276,361
0277,225
0278,137
0279,100
0280,109
0281,184
0282,193
0283,173
0284,151
0285,112
0286,82
0287,97
0288,154
0289,192
0290,158
0291,120
0292,99
0293,98
0294,95
0295,130
0296,143
0297,101
0298,108
0299,79
0300,44
0301,69
0302,146
0303,149
0304,122
0305,132
0306,155
0307,80
0308,73
0309,135
0310,131
0311,115
0312,115
0313,96
0314,59
0315,82
0316,123
0317,178
0318,136
0319,122
0320,105
0321,62
0322,88
0323,774
0324,453
0325,158
0326,149
0327,112
0328,120
0329,113
0330,142
0331,150
0332,144
0333,132
0334,94
0335,56
0336,88
0337,141
0338,167
0339,145
0340,125
0341,103
0342,94
0343,89
0344,171
0345,167
0346,182
0347,174
0348,130
0349,77
0350,124
0351,159
0352,178
0353,165
0354,191
0355,135
0356,79
0357,86
0358,160
0359,146
0360,213
0361,212
0362,156
0363,91
0364,105
